English Word,class,Anglish (attested),Anglish (unattested),cleaned unattested,,,,,,,,,,,,,,,,,,,,,,,,,
mound,n,"drift; heap; highland, rise, upland",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mount,n,hill,"barrow, berry",barrow, berry,,,,,,,,,,,,,,,,,,,,,,,,
mounted,adj,on horseback,beriden (<ME beriden <OE berídan),beriden ,<ME beriden <OE berídan),,,,,,,,,,,,,,,,,,,,,,,,
mountain,n,"barrow, berrya mountainous region: Highland(s)","berg, highberg (not to mistake it for ""burg""), fell\npeak (OE pīc, Du. piek, Dan. pik)",berg, highberg ,"not to mistake it for ""burg"")", fell\npeak ,OE pīc, Du. piek, Dan. pik),,,,,,,,,,,,,,,,,,,
moustache,n,"kemp, nosebeard","overbeard, snor (cf. Du. ""snor"", NHG ""Schnurrbart""), gran (<OE ""granu""), lipbeard",overbeard, snor ,"cf. Du. ""snor"""," NHG ""Schnurrbart"")", gran ,"<OE ""granu"")", lipbeard,,,,,,,,,,,,,,,,,,,
move,vb,shift; drive; stir; sway; set off; wade; rock (cf. NHG rücken)\npeel off,"wander: shrithe (<OE scriþan 'to go, take one's way)lake (fast)besteal (stealthily)\nbeweigh (Du bewegen, be- + wegen)\naway: upshove (<OE oþscūfan)\nquicken",wander: shrithe ,<OE scriþan 'to go, take one's way)lake ,fast)besteal ,stealthily)\nbeweigh ,Du bewegen, be- + wegen)\naway: upshove ,<OE oþscūfan)\nquicken,,,,,,,,,,,,,,,,,,
movement,n,"shift, stir; drive","shrithing\npol: beweighing (cf. NHG bewegung, Du. beweging)\nquickening",shrithing\npol: beweighing ,cf. NHG bewegung, Du. beweging)\nquickening,,,,,,,,,,,,,,,,,,,,,,,
movie,n,"film, flick",quickie,quickie,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr, Sir",n,Lord,"Hire (<OE hearra, cf. NHG Herr)",Hire ,<OE hearra, cf. NHG Herr),,,,,,,,,,,,,,,,,,,,,,,
"Mrs, Miss",n,Lady,"Frow (<OE frówe, cf. NHG Frau)",Frow ,<OE frówe, cf. NHG Frau),,,,,,,,,,,,,,,,,,,,,,,
mucus,n,"slime, snot",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
muffle,vb,shroud,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
multiculturalism,n,-,felemenning (cf. Ic. fjölmenning),felemenning ,cf. Ic. fjölmenning),,,,,,,,,,,,,,,,,,,,,,,,
multiple,adj,"many, manifold, morefold",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
multiply,vb,manifold,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
multi-,prefix,"cluster-, mani-","fele- (<OE fela-), fay (<OE fag fah brightly multicoloured)",fele- ,<OE fela-), fay ,<OE fag fah brightly multicoloured),,,,,,,,,,,,,,,,,,,,,,
multi-language word,n,wanderword,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
multi-purpose,adj,all-in-one,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
multitude,n,"crowd, throng, flock, folk, cluster, wave, mow, manifoldness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mummy,n,-,linwrapped body,linwrapped body,,,,,,,,,,,,,,,,,,,,,,,,,
municipality,n,-,meanth (cf. NHG Gemeinde),meanth ,cf. NHG Gemeinde),,,,,,,,,,,,,,,,,,,,,,,,
muscle,n,"brawn, thew, sinew",mousock (Latin ​musculus​: 'little mouse'); musling ('little mouse'),mousock ,Latin ​musculus​: 'little mouse'); musling ,little mouse'),,,,,,,,,,,,,,,,,,,,,,,
muscular,n,"brawny, thewy, sinewy, thewsome",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
muse,vb,mimmer/mammer,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
museum,n,-,"crafthall, yorehall; crafthouse; lorestead",crafthall, yorehall; crafthouse; lorestead,,,,,,,,,,,,,,,,,,,,,,,,
mushroom,n,toadstool,"mosswort, mosswamb",mosswort, mosswamb,,,,,,,,,,,,,,,,,,,,,,,,
music,n,glee,"swin, swincraft (<OE geswin ""song"" + craft)\ngleamlist (cf. Ic hljómlist), song, tonelist (from Icelandic), songcraft, gleecraft, swinsongcraft,",swin, swincraft ,"<OE geswin ""song"" + craft)\ngleamlist ",cf. Ic hljómlist), song, tonelist ,from Icelandic), songcraft, gleecraft, swinsongcraft,,,,,,,,,,,,,,,,
musical,adj/n,-,"songly, gleamwise (cf. Ic hljómvís) theatre: songplay\nmovie: songfilm",songly, gleamwise ,cf. Ic hljómvís) theatre: songplay\nmovie: songfilm,,,,,,,,,,,,,,,,,,,,,,,
musician,n,"gleeman, player, songwright","swinsmith, dreamer (<OE dreamere)",swinsmith, dreamer ,<OE dreamere),,,,,,,,,,,,,,,,,,,,,,,
musicology,n,-,"swinlore, gleelore",swinlore, gleelore,,,,,,,,,,,,,,,,,,,,,,,,
mustard,n,-,"sennep (<OE senep, but <late Latin <Greek, compare modern Italian, senape, so both roots are not Germanic)",sennep ,<OE senep, but <late Latin <Greek, compare modern Italian, senape, so both roots are not Germanic),,,,,,,,,,,,,,,,,,,,
muster,n/vb,gather(ing),fay,fay,,,,,,,,,,,,,,,,,,,,,,,,,
mussel,n,-,ran (<OE hran),ran ,<OE hran),,,,,,,,,,,,,,,,,,,,,,,,
mutate,vb,shapeshift,"shrithe, yondshape, wandle",shrithe, yondshape, wandle,,,,,,,,,,,,,,,,,,,,,,,
mute,adj,"dumb, hushed, speechless",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mutilate,n/vb,-,overcripple,overcripple,,,,,,,,,,,,,,,,,,,,,,,,,
mutton,n,sheepflesh,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mutual,adj,evenway,bothways,bothways,,,,,,,,,,,,,,,,,,,,,,,,,
mycelium,n,-,"net (cf. Ic neti), swambnet",net ,cf. Ic neti), swambnet,,,,,,,,,,,,,,,,,,,,,,,
myopia,n,"near(-)sightedness, short(-)sightedness",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
mystery,n,"wonder, brain twister, beyond man's ken, hidden thing","rune (<PG)ghost-wonder (cf. OE gástgeryne)hiddle, mist hearing\nriddle",rune ,<PG)ghost-wonder ,cf. OE gástgeryne)hiddle, mist hearing\nriddle,,,,,,,,,,,,,,,,,,,,,,
myth,n,,"misth (shortening of mist + th); dreamtale, wondertale",misth ,shortening of mist + th); dreamtale, wondertale,,,,,,,,,,,,,,,,,,,,,,,
mythology,n,"folklore, dreamlore, wonderlore",mistlore\ngodlore,mistlore\ngodlore,,,,,,,,,,,,,,,,,,,,,,,,,
nadir,n,"depths, bottom, trough",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
naive,adj,craftless; self-taught,liefsome (<OE geleafsum),liefsome ,<OE geleafsum),,,,,,,,,,,,,,,,,,,,,,,,
nano-technology,n,smart dust,kernel wield,kernel wield,,,,,,,,,,,,,,,,,,,,,,,,,
narcolepsy,n,sleepsickness,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
narcotic,n/adj,"dope\nbenumbing, deadening",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
narrate,vb,"yarn, tell","kithe (<OE cýðan), foretell",kithe ,<OE cýðan), foretell,,,,,,,,,,,,,,,,,,,,,,,
narration,n,telling,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
narrative,n,"tale, yarn","kithing, backtale, foretelling (cf. Du. vertellen)",kithing, backtale, foretelling ,cf. Du. vertellen),,,,,,,,,,,,,,,,,,,,,,
nasal,adj,nosely,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nasal bone,n,-,nosely bone,nosely bone,,,,,,,,,,,,,,,,,,,,,,,,,
natatorium,n,"swimming pool, pool","sundhall (""sund"" from OE, meaning ""ability to swim, act of swimming""),",sundhall ,"""sund"" from OE"," meaning ""ability to swim"," act of swimming"")",,,,,,,,,,,,,,,,,,,,,,
nation,n,"folk, stock","theed/thede (<OE þeod), leedship (<OE léodscipe, from lede), theid, landleed, kinrike (<OE), folk, folkstead (<OE), folkship (<OE) folcscipe), Leedred (<OE)",theed/thede ,<OE þeod), leedship ,<OE léodscipe, from lede), theid, landleed, kinrike ,<OE), folk, folkstead ,<OE), folkship ,<OE) folcscipe), Leedred ,<OE),,,,,,,,,,
nationalism,n,flag-waving,"haletheeding, ethelhood, theedholdness (<OE theodenhold)",haletheeding, ethelhood, theedholdness ,<OE theodenhold),,,,,,,,,,,,,,,,,,,,,,
native,adj,"homely, built in, inborn, inbred, ownborn","homelike, home-ish, erd-folkish, arland, true-born, true-grown, inland",homelike, home-ish, erd-folkish, arland, true-born, true-grown, inland,,,,,,,,,,,,,,,,,,,
natural,adj,"clay, self\ngrouping: feather, ilk, kind",kindly (<OE cyndelic)\nquithenly (<OE cwiðenlic)\nlundish (cf. ME lund; ON lund)\nselfgoing\nIkind (<OE),kindly ,<OE cyndelic)\nquithenly ,<OE cwiðenlic)\nlundish ,cf. ME lund; ON lund)\nselfgoing\nIkind ,<OE),,,,,,,,,,,,,,,,,,,,,
natural logarithm,n,-,infold (for e); inroot (for ln) (synthesised from meaning),infold ,for e); inroot ,for ln) ,synthesised from meaning),,,,,,,,,,,,,,,,,,,,,,
natural selection,n,drain of life,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
naturally,n,"smoothly, flowingly",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
nature,n,"clay, self; wilderness; greenworld; the wild; lik, kind; being, soul; world","lund, lind (<ME lund from Old Norse lundr); umworld (cf. NHG Umwelt)",lund, lind ,<ME lund from Old Norse lundr); umworld ,cf. NHG Umwelt),,,,,,,,,,,,,,,,,,,,,,
naturism,n,-,barelife,barelife,,,,,,,,,,,,,,,,,,,,,,,,,
naturists,n,barefolk,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nausea,n,"sickness, loathing","the shifts (calque), snoffy",the shifts ,calque), snoffy,,,,,,,,,,,,,,,,,,,,,,,
nauseous,n,"sickening, loathsome",latsome (<OE),latsome ,<OE),,,,,,,,,,,,,,,,,,,,,,,,
navigate,vb,"guide, sail, steer, helm",lode,lode,,,,,,,,,,,,,,,,,,,,,,,,,
navigation,n,watercraft,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
navy,adj/n,"fleet, shipfyrd",fleethood,fleethood,,,,,,,,,,,,,,,,,,,,,,,,,
Neanderthal,n,-,Newmandale (calque of Gk nea + Gk andra + NHG thal),Newmandale ,calque of Gk nea + Gk andra + NHG thal),,,,,,,,,,,,,,,,,,,,,,,,
nebula,n,-,"starcloud, heavenly cloud",starcloud, heavenly cloud,,,,,,,,,,,,,,,,,,,,,,,,
necessary,adj,"needful, needed","daven (<OE dafen), needsakely (cf. Du. noodzakelijk )",daven ,<OE dafen), needsakely ,cf. Du. noodzakelijk ),,,,,,,,,,,,,,,,,,,,,,
necessitate,vb,"need, behoove (att'd in impersonal sense)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
necessity,n,need,"thearf (<OE) Needtharf, Needtharfness (<OE)",thearf ,<OE) Needtharf, Needtharfness ,<OE),,,,,,,,,,,,,,,,,,,,,,
necklace,n,-neckband,meen,meen,,,,,,,,,,,,,,,,,,,,,,,,,
necro-,prefix,"dead-, death-",lich-,lich-,,,,,,,,,,,,,,,,,,,,,,,,,
necrology,n,-,"gravelore, deadlore, lichlore",gravelore, deadlore, lichlore,,,,,,,,,,,,,,,,,,,,,,,
necromancy,n,witchcraft,"lichcalling, deathcalling, lichcraft",lichcalling, deathcalling, lichcraft,,,,,,,,,,,,,,,,,,,,,,,
necrophage,n,-,"licheater, deadeater",licheater, deadeater,,,,,,,,,,,,,,,,,,,,,,,,
necrophagy,n,-,"licheating, deadeating",licheating, deadeating,,,,,,,,,,,,,,,,,,,,,,,,
necrophilia,n,-,"lichlust, deadlust",lichlust, deadlust,,,,,,,,,,,,,,,,,,,,,,,,
nectar,n,-,"honeyor, heaven's broth",honeyor, heaven's broth,,,,,,,,,,,,,,,,,,,,,,,,
negate,vb,gainsay,"unsay, withersay, undo, forno (cf. NHG verneinen)",unsay, withersay, undo, forno ,cf. NHG verneinen),,,,,,,,,,,,,,,,,,,,,
negative,adj,"naysaying, untoward, Neysome (William Barnes)","mathematics: undernaught\nunsay, naysome, undeed\nWitherwise, Withwise, Asakesome",mathematics: undernaught\nunsay, naysome, undeed\nWitherwise, Withwise, Asakesome,,,,,,,,,,,,,,,,,,,,,
neglect,vb,"forget, overlook, slight, slur over","mar, foryeme (<OE forgyman), overgum (<OE ofergumian), Forheed (<OE) Forhow(e) (<OE) Forsit (<OE) Foryeam (<OE)",mar, foryeme ,<OE forgyman), overgum ,<OE ofergumian), Forheed ,<OE) Forhow,e) ,<OE) Forsit ,<OE) Foryeam ,<OE),,,,,,,,,,,,,,,
negligent,vb,"heedless, reckless",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
negotiate,vb,"moot, chaffer, haggle",formeal (<OE formǽlan)\nforhandle (calque),formeal ,<OE formǽlan)\nforhandle ,calque),,,,,,,,,,,,,,,,,,,,,,,
negro,n/adj,"black, swart, swarthy","blackman, blackskin",blackman, blackskin,,,,,,,,,,,,,,,,,,,,,,,,
neocortex,n,-,brain bark,brain bark,,,,,,,,,,,,,,,,,,,,,,,,,
Neolithic,n,-,New Stone Eld,New Stone Eld,,,,,,,,,,,,,,,,,,,,,,,,,
neon,n,-,newstuff,newstuff,,,,,,,,,,,,,,,,,,,,,,,,,
neophyte,n,"greenhorn, incomer, settler, newcomer",callower,callower,,,,,,,,,,,,,,,,,,,,,,,,,
nepenthe,n,-,unmourner,unmourner,,,,,,,,,,,,,,,,,,,,,,,,,
nephew,n,neve,sibson,sibson,,,,,,,,,,,,,,,,,,,,,,,,,
nerve,n,"mettle, boldness, doughtiness, guts, fastness, fearlessness, firmness, pith, pluck, steadiness, steel, heart, will,sinew",concrete n: ader (<OE ædre)\nFeelingsinew,concrete n: ader ,<OE ædre)\nFeelingsinew,,,,,,,,,,,,,,,,,,,,,,,,
nervous(ness),adj / n,"edgy, keyed-up, high strung","-sinewsome, sinewly\nn: edginess, sinewlith, sinewsomeness",-sinewsome, sinewly\nn: edginess, sinewlith, sinewsomeness,,,,,,,,,,,,,,,,,,,,,,
neurose,n,-,sinewsweet,sinewsweet,,,,,,,,,,,,,,,,,,,,,,,,,
neurotransmitter,n,-,sinew sender,sinew sender,,,,,,,,,,,,,,,,,,,,,,,,,
neutral,adj,"unsided, sideless, middlish, in-between",naughtly,naughtly,,,,,,,,,,,,,,,,,,,,,,,,,
neutrality,n,"unsidedness,  fair-mindedness, evenhandedness",naughtliness\nmiddleness,naughtliness\nmiddleness,,,,,,,,,,,,,,,,,,,,,,,,,
neutrino,n,,neitherling,neitherling,,,,,,,,,,,,,,,,,,,,,,,,,
neutron,n,-,"neitherbit, evenmote",neitherbit, evenmote,,,,,,,,,,,,,,,,,,,,,,,,
newspaper,n,tiding(s),,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
nice,adj,kind,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
niche,n,nook,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
niece,n,nift,"neven (<OE nefene, cf. vixen)",neven ,<OE nefene, cf. vixen),,,,,,,,,,,,,,,,,,,,,,,
Niflheim,n,Mistworld,Nevilworld,Nevilworld,,,,,,,,,,,,,,,,,,,,,,,,,
nihilism,n,-,"wearning (<OE wiernan 'deny, reject')",wearning ,<OE wiernan 'deny, reject'),,,,,,,,,,,,,,,,,,,,,,,
Níðhöggr,n,-,Nithehewer,Nithehewer,,,,,,,,,,,,,,,,,,,,,,,,,
nitrogen,n,-,loftmote,loftmote,,,,,,,,,,,,,,,,,,,,,,,,,
Nizhny Novgorod,n,,Nether Newton,Nether Newton,,,,,,,,,,,,,,,,,,,,,,,,,
Nil satis nisi optimum,pvb,Nothing but the best is good enough,,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
nobility,n,,atheldom (cf. Du. adeldom),atheldom ,cf. Du. adeldom),,,,,,,,,,,,,,,,,,,,,,,,
noble,n/adj,highbred; best kind: gilt-edged,"athel (<ME aethel, <OE æþele)",athel ,<ME aethel, <OE æþele),,,,,,,,,,,,,,,,,,,,,,,
nocturnal,adj,"nightly, night-time, night-life",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nocturnal\n (instrument),n,-,nightstound (<ME stound),nightstound ,<ME stound),,,,,,,,,,,,,,,,,,,,,,,,
nocturne,n,-,night-swey,night-swey,,,,,,,,,,,,,,,,,,,,,,,,,
noise,n,"din, clattering","low (<OE hlowan 'low, bellow, roar'), Ream, Leither, Woom (all < OE)",low ,<OE hlowan 'low, bellow, roar'), Ream, Leither, Woom ,all < OE),,,,,,,,,,,,,,,,,,
noisy,adj,loud,dinsome,dinsome,,,,,,,,,,,,,,,,,,,,,,,,,
nolens volens,adv,willy-nilly,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nominative (case),n,-,"beckoningly, whofall (cf. NHG Werfall), namefall (cf. Ic. nefnifall)",beckoningly, whofall ,cf. NHG Werfall), namefall ,cf. Ic. nefnifall),,,,,,,,,,,,,,,,,,,,,
nominate,vb,call; name,clepe,clepe,,,,,,,,,,,,,,,,,,,,,,,,,
non-,prefix,"un-, -less, not",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
non obstante,n,-notwithstanding,rightening,rightening,,,,,,,,,,,,,,,,,,,,,,,,,
non-existent,adj,beingless,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nonsense,n,"rubbish, twaddle, humbug, gammon",unwit,unwit,,,,,,,,,,,,,,,,,,,,,,,,,
noon (through Latin),n,midday,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
noose,n,-,hangknot,hangknot,,,,,,,,,,,,,,,,,,,,,,,,,
norm,n,rightline,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
normal,adj,right,mean,mean,,,,,,,,,,,,,,,,,,,,,,,,,
nostalgia,n,-,"yesterlove, yoresickness, yesteryearn, yesterlong",yesterlove, yoresickness, yesteryearn, yesterlong,,,,,,,,,,,,,,,,,,,,,,
notable,adj,"bright, outstanding, star",breme (<OE breme),breme ,<OE breme),,,,,,,,,,,,,,,,,,,,,,,,
notch,n/vb,"slit, groove, kerf (n.), carve (vb.)",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
notary public,n,-,logbookande (cf. Ic. lögbókandi),logbookande ,cf. Ic. lögbókandi),,,,,,,,,,,,,,,,,,,,,,,,
note,n,-,log (Norse lág),log ,Norse lág),,,,,,,,,,,,,,,,,,,,,,,,
"note, of (famous)",adj,-,namecouth (<OE namcuþ),namecouth ,<OE namcuþ),,,,,,,,,,,,,,,,,,,,,,,,
notice,vb,heed (take heed),heed: beaughten (NHG. beachten)\nfrom be- + aught + -en (see aught)\nremark: Bemark (NHG. Bemerken) \nyeme,heed: beaughten ,NHG. beachten)\nfrom be- + aught + -en ,see aught)\nremark: Bemark ,NHG. Bemerken) \nyeme,,,,,,,,,,,,,,,,,,,,,,
noticeable,adj,striking,"yemebere, heedsome",yemebere, heedsome,,,,,,,,,,,,,,,,,,,,,,,,
noting,vb,heeding,yeming,yeming,,,,,,,,,,,,,,,,,,,,,,,,,
noun,n,nameword,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nourish,vb,"feed, fodder",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
novel,n,talebook,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
novelty,n,"newness, newth",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
November,n,-,"Fogmonth, Bloodmonth",Fogmonth, Bloodmonth,,,,,,,,,,,,,,,,,,,,,,,,
novice,n,"newling, beginner, fledgeling, newcomer, freshman, greenhorn",callower,callower,,,,,,,,,,,,,,,,,,,,,,,,,
nubile,adj,wedworthy,-wedsome,-wedsome,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear bomb,n,-,kernelblaster,kernelblaster,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear reactor,n,-,kerneloven (cf. Ic. kjarnaofn),kerneloven ,cf. Ic. kjarnaofn),,,,,,,,,,,,,,,,,,,,,,,,
nuclear weapon,n,-,kernelweapon,kernelweapon,,,,,,,,,,,,,,,,,,,,,,,,,
nucleon,n,-,pithmote,pithmote,,,,,,,,,,,,,,,,,,,,,,,,,
nucleus,n,kernel,kernling,kernling,,,,,,,,,,,,,,,,,,,,,,,,,
nugget,n,-,lumpling\nnugling (nug (of unknown origin) + ling),lumpling\nnugling ,nug ,of unknown origin) + ling),,,,,,,,,,,,,,,,,,,,,,,
nuisance,n,"hindering, besetter, harrier, hounder, gadfly",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nullify,vb,"naughten, override",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
number,vb,"mark, reckon","tell (up), Itell",tell ,up), Itell,,,,,,,,,,,,,,,,,,,,,,,
numerator,n,-,teller (calque),teller ,calque),,,,,,,,,,,,,,,,,,,,,,,,
numerological,adj,-,"rimlore-, rimlorish",rimlore-, rimlorish,,,,,,,,,,,,,,,,,,,,,,,,
numerous,adj,many,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nurse,n,"carer, caregiver","berg-maid, ward sister\nchild-foster (<OE cildfóstre) sicksister (Nw. sykesøster)",berg-maid, ward sister\nchild-foster ,<OE cildfóstre) sicksister ,Nw. sykesøster),,,,,,,,,,,,,,,,,,,,,,
nursery,n,-,"kindergrove,\nchilderyard (NHG kindergarten)",kindergrove,\nchilderyard ,NHG kindergarten),,,,,,,,,,,,,,,,,,,,,,,
nurture,vb,"breed, rear, foster, bring up",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nutritional value,n,"wholesome worth, healthful worth",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
nutritious,adj,"feeding, healthful, wholesome",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obedient,adj,"hearsome, law-abiding","bowel (<OE beogol), buxom, eathmood (<OE eaþmod)",bowel ,<OE beogol), buxom, eathmood ,<OE eaþmod),,,,,,,,,,,,,,,,,,,,,
obedience,n,hearsomeness,"buxomness, youngerdom, hearness, thegning",buxomness, youngerdom, hearness, thegning,,,,,,,,,,,,,,,,,,,,,,
obelisk,n,"needle, shaft",stonerock (<OE stanrocc),stonerock ,<OE stanrocc),,,,,,,,,,,,,,,,,,,,,,,,
obese,adj,"full, podgy, overweight",fatsoughty (cf. NHG fettsüchtig),fatsoughty ,cf. NHG fettsüchtig),,,,,,,,,,,,,,,,,,,,,,,,
obey,vb,"heed, fulfill, follow, bow, give in, give way, meet",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obfuscate,vb,"becloud, muddy",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
object,n,"ware, thing, mark, body, goal, end",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
objection,n,gripe,gaintale,gaintale,,,,,,,,,,,,,,,,,,,,,,,,,
objectionable,adj,-,frainworthy,frainworthy,,,,,,,,,,,,,,,,,,,,,,,,,
objective,n/adj,"goal, target; fair-minded, open-minded",unsided,unsided,,,,,,,,,,,,,,,,,,,,,,,,,
objectivity,n,"open-mindedness, evenhandedness",unsidedness,unsidedness,,,,,,,,,,,,,,,,,,,,,,,,,
obligate,vb,"bind, make",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obligation,n,"binding, making",needyness/neediness (<OE néadignes),needyness/neediness ,<OE néadignes),,,,,,,,,,,,,,,,,,,,,,,,
obliged,adj,bound,writhen (<OE gewriþen),writhen ,<OE gewriþen),,,,,,,,,,,,,,,,,,,,,,,,
oblique,adj,"slanting, sideways",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obliquely,adv,aslant,athwart,athwart,,,,,,,,,,,,,,,,,,,,,,,,,
oblivion,n,"forgetfullness, unawareness",forgottenhood,forgottenhood,,,,,,,,,,,,,,,,,,,,,,,,,
oblivious,adj,"clueless, careles, heedless, unwitted",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obscene,adj,"foul, lewd, shameless",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obscure,adj,"thester, dim, unlit, swart, overmisted, shady",unswotel,unswotel,,,,,,,,,,,,,,,,,,,,,,,,,
obsequious,adj,"cringing, beggarly, bootlicking, brownnosing, fawning, groveling, sniveling, spineless",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
observant,adj,"awake, open-eyed",yeming,yeming,,,,,,,,,,,,,,,,,,,,,,,,,
observe,vb,"follow, goose-step; eye, behold, catch, mark, look at, witness; mind, watch, keep an eye on","yeme (<OE gieman), umwlat (<OE ymbwlātian)\nBeaughten (<NHG. beachten, beobachten) see aught",yeme ,<OE gieman), umwlat ,<OE ymbwlātian)\nBeaughten ,<NHG. beachten, beobachten) see aught,,,,,,,,,,,,,,,,,,,,
observer,n,"witness, onlooker, beholder",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obsess,vb,grip,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obsidian,n,-,ravenflint (cf. Ic. hrafntinna)\nrownglass (cf. Du. lavaglas),ravenflint ,cf. Ic. hrafntinna)\nrownglass ,cf. Du. lavaglas),,,,,,,,,,,,,,,,,,,,,,,
obsolete,adj,"outworn, rust, timeworn",out of brookforold (cf. Dn. forældet/NHG. veraltet),out of brookforold ,cf. Dn. forældet/NHG. veraltet),,,,,,,,,,,,,,,,,,,,,,,,
obstacle,n,"block, hurdle",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obstinate,adj,"headstrong, willful, steadfast",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obstetrics,n,-,birthhelp (cf. NHG geburtshilfe),birthhelp ,cf. NHG geburtshilfe),,,,,,,,,,,,,,,,,,,,,,,,
obstruct,vb,"block, fetter, hamstring, shackle, hold up","forslow, forset (<OE forsettan)",forslow, forset ,<OE forsettan),,,,,,,,,,,,,,,,,,,,,,,
obstruction,n,"hindering, hinderness, hitch",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
obtain,vb,"get, reap, win, net, come by, draw, land","fang, beget",fang, beget,,,,,,,,,,,,,,,,,,,,,,,,
obvious,adj,straightforward,"bare-nebbed, swotel",bare-nebbed, swotel,,,,,,,,,,,,,,,,,,,,,,,,
obviously,adv,-,markedly\nopensightly (cf. NHG offensichtlich),markedly\nopensightly ,cf. NHG offensichtlich),,,,,,,,,,,,,,,,,,,,,,,,
Óðinn/Odin,n,"Weden, Woden",,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,
occasion,n,time; opening,"sele (<OE sæl), meal",sele ,<OE sæl), meal,,,,,,,,,,,,,,,,,,,,,,,
occasional,adj,here and far between,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
occasionally,adv,"here and there, now and then",-,-,,,,,,,,,,,,,,,,,,,,,,,,,
occidental,n/adj,western,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
occipital bone,n,-,"skullend, backskull",skullend, backskull,,,,,,,,,,,,,,,,,,,,,,,,
occupied,adj,"busy, tied-up","beseted (cf. Du bezet, NHG besetzt)",beseted ,cf. Du bezet, NHG besetzt),,,,,,,,,,,,,,,,,,,,,,,
occupy,vb,-,"beset (cf. Du bezetten, NHG besetzten)",beset ,cf. Du bezetten, NHG besetzten),,,,,,,,,,,,,,,,,,,,,,,
occur,vb,"befall, happen, come about",sheen (<OE sceon)\nbetide,sheen ,<OE sceon)\nbetide,,,,,,,,,,,,,,,,,,,,,,,,
occurrence,n,"befall, happening","sheening (<OE ġescēon, cf. NHG Geschehen), belimp (<OE belimp)",sheening ,<OE ġescēon, cf. NHG Geschehen), belimp ,<OE belimp),,,,,,,,,,,,,,,,,,,,,
